"Título","Autor","Género","Tema"
"La fiesta ajena","Mauricio Babilonia","Cuentos","Identidad, diversidad, migración"
"Pedro y el capitán","Mario Benedetti","Drama","Tortura, represión política"
"Los ríos profundos","José María Arguedas","Novela","Identidad, conflicto cultural"
"Los de abajo","Mariano Azuela","Novela","Revolución mexicana, lucha social"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"El otoño del patriarca","Gabriel García Márquez","Novela","Dictadura, poder, soledad"
"Los días enmascarados","Carlos Fuentes","Cuentos","Identidad, tradición, modernidad"
"El entenado","Juan José Saer","Novela","Colonización, alteridad, violencia"
"La casa de Bernarda Alba","Federico García Lorca","Teatro","Opresión, represión, feminismo"
"La región más transparente","Carlos Fuentes","Novela","Identidad, modernización, corrupción"
"La fiesta ajena","Mauricio Babilonia","Cuentos","Identidad, diversidad, migración"
"Los siete locos","Roberto Arlt","Novela","Sociedad, alienación, locura"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"La guerra del fin del mundo","Mario Vargas Llosa","Novela","Religión, política, rebelión"
"El beso de la mujer araña","Manuel Puig","Novela","Identidad, represión, amor"
"La sombra del viento","Carlos Ruiz Zafón","Novela","Misterio, historia, amor por los libros"
"Los de abajo","Mariano Azuela","Novela","Revolución mexicana, lucha social"
"La fiesta ajena","Mauricio Babilonia","Cuentos","Identidad, diversidad, migración"
"Pedro y el capitán","Mario Benedetti","Drama","Tortura, represión política"
"Los ríos profundos","José María Arguedas","Novela","Identidad, conflicto cultural"
"Los siete locos","Roberto Arlt","Novela","Sociedad, alienación, locura"
"La región más transparente","Carlos Fuentes","Novela","Identidad, modernización, corrupción"
"La guerra del fin del mundo","Mario Vargas Llosa","Novela","Religión, política, rebelión"
"El beso de la mujer araña","Manuel Puig","Novela","Identidad, represión, amor"
"Los funerales de la Mamá Grande","Gabriel García Márquez","Cuentos","Realismo mágico, sátira"
"La casa de los espirales","Julieta Ramos","Novela","Misterio, espiritualidad"
"Los adioses","Juan Carlos Onetti","Novela","Memoria, despedida, vejez"
"Conversación en la catedral","Mario Vargas Llosa","Novela","Política, corrupción, alienación"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"Pedro y el capitán","Mario Benedetti","Drama","Tortura, represión política"
"El lugar sin límites","José Donoso","Novela","Identidad de género, opresión"
"La casa de Bernarda Alba","Federico García Lorca","Teatro","Opresión, represión, feminismo"
"La casa de los espíritus","Isabel Allende","Novela","Realismo mágico, política, amor"
"La sombra del viento","Carlos Ruiz Zafón","Novela","Misterio, historia, amor por los libros"
"Los de abajo","Mariano Azuela","Novela","Revolución mexicana, lucha social"
"Los de arriba y los de abajo","Mariano Azuela","Novela","Revolución mexicana, desigualdad"
"Los perros hambrientos","Ciro Alegría","Novela","Naturaleza, lucha por la supervivencia"
"La hojarasca","Gabriel García Márquez","Novela","Memoria, decadencia, soledad"
"Pedro y el capitán","Mario Benedetti","Drama","Interrogatorio, autoritarismo"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda de la identidad"
"Los recuerdos del porvenir","Elena Garro","Novela","Mitos, familia, revolución"
"La casa de cartón","Martín Blasco","Novela","Vivienda, desigualdad, marginación"
"El libro de los abrazos","Eduardo Galeano","Cuentos","Historias cortas, relaciones humanas"
"Los perros hambrientos","Ciro Alegría","Novela","Naturaleza, lucha por la supervivencia"
"La muerte de Artemio Cruz","Carlos Fuentes","Novela","Poder, corrupción, muerte"
"Los funerales de la Mamá Grande","Gabriel García Márquez","Cuentos","Realismo mágico, sátira"
"Las lanzas coloradas","Arturo Uslar Pietri","Novela histórica","Guerra de independencia, luchas populares"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda de la identidad"
"Pedro y el capitán","Mario Benedetti","Drama","Interrogatorio, autoritarismo"
"La guerra del fin del mundo","Mario Vargas Llosa","Novela","Religión, política, rebelión"
"El beso de la mujer araña","Manuel Puig","Novela","Identidad, represión, amor"
"La casa de Bernarda Alba","Federico García Lorca","Teatro","Opresión, represión, feminismo"
"La casa de los espirales","Julieta Ramos","Novela","Misterio, espiritualidad"
"Los adioses","Juan Carlos Onetti","Novela","Memoria, despedida, vejez"
"Los funerales de la Mamá Grande","Gabriel García Márquez","Cuentos","Realismo mágico, sátira"
"La tregua","Mario Benedetti","Novela","Vida cotidiana, rutina, amor"
"Gracias por el fuego","Mario Benedetti","Novela","Amor, política, compromiso social"
"La borra del café","Mario Benedetti","Novela","Memoria, introspección, escritura"
"Montevideanos","Mario Benedetti","Cuentos","Retratos urbanos, cotidianidad"
"La noche de los feos","Mario Benedetti","Cuentos","Identidad, belleza, alienación"
"Primavera con una esquina rota","Mario Benedetti","Poesía","Amor, desilusión, exilio"
"El amor, las mujeres y la vida","Mario Benedetti","Ensayo","Reflexiones sobre el amor y la vida"
"La casa y el ladrillo","Mario Benedetti","Cuentos","Relaciones humanas, nostalgia"
"Defensa propia","Mario Benedetti","Cuentos","Conflictos personales, sociedad"
"El otro yo","Mario Benedetti","Novela","Identidad, doble personalidad"
"Geografías","Mario Benedetti","Poesía","Viajes, geografía emocional"
"Vivir adrede","Mario Benedetti","Poesía","Vida, sentimientos, existencia"
"La borra del café","Mario Benedetti","Novela","Memoria, introspección, escritura"
"Primavera con una esquina rota","Mario Benedetti","Poesía","Amor, desilusión, exilio"
"Despistes y franquezas","Mario Benedetti","Cuentos","Cotidianidad, reflexiones personales"
"La vida, ese paréntesis","Mario Benedetti","Ensayo","Reflexiones sobre la vida y el tiempo"
"La casa y el ladrillo","Mario Benedetti","Cuentos","Relaciones humanas, nostalgia"
"Defensa propia","Mario Benedetti","Cuentos","Conflictos personales, sociedad"
"El otro yo","Mario Benedetti","Novela","Identidad, doble personalidad"
"Geografías","Mario Benedetti","Poesía","Viajes, geografía emocional"
"Las venas abiertas de América Latina","Eduardo Galeano","Ensayo","Historia, explotación, colonialismo"
"Los hijos de los días","Eduardo Galeano","Narrativa","Historia, acontecimientos diarios"
"Memoria del fuego (Trilogía)","Eduardo Galeano","Historia","Historia de América Latina"
"El libro de los abrazos","Eduardo Galeano","Cuentos","Historias breves, relaciones humanas"
"Las palabras andantes","Eduardo Galeano","Cuentos","Reflexiones sobre la vida y el mundo"
"Los días siguientes","Eduardo Galeano","Cuentos","Historias cortas, cotidianidad"
"Espejos: Una historia casi universal","Eduardo Galeano","Ensayo","Historia universal, reflexiones"
"Los nadies","Eduardo Galeano","Cuentos","Injusticia social, marginación, identidad"
"Bocas del tiempo","Eduardo Galeano","Poesía","Reflexiones sobre la vida y el tiempo"
"Los vivos y los muertos","Eduardo Galeano","Cuentos","Historias cortas, experiencias humanas"
"El futbol a sol y sombra","Eduardo Galeano","Ensayo","Fútbol, pasión, cultura"
"Los nadies","Eduardo Galeano","Cuentos","Injusticia social, marginación, identidad"
"Los hijos de los días","Eduardo Galeano","Narrativa","Historia, acontecimientos diarios"
"Las palabras andantes","Eduardo Galeano","Cuentos","Reflexiones sobre la vida y el mundo"
"Los días siguientes","Eduardo Galeano","Cuentos","Historias cortas, cotidianidad"
"Espejos: Una historia casi universal","Eduardo Galeano","Ensayo","Historia universal, reflexiones"
"El libro de los abrazos","Eduardo Galeano","Cuentos","Historias breves, relaciones humanas"
"Bocas del tiempo","Eduardo Galeano","Poesía","Reflexiones sobre la vida y el tiempo"
"Los vivos y los muertos","Eduardo Galeano","Cuentos","Historias cortas, experiencias humanas"
"El futbol a sol y sombra","Eduardo Galeano","Ensayo","Fútbol, pasión, cultura"
"Las viudas de los jueves","Claudia Piñeiro","Novela","Sociedad, crisis económica, secretos"
"Betibú","Claudia Piñeiro","Novela Negra","Crimen, misterio, periodismo"
"Tuya","Claudia Piñeiro","Novela Negra","Obsesión, deseo, crimen"
"Las maldiciones","Claudia Piñeiro","Novela","Secretos familiares, relaciones humanas"
"Un comunista en calzoncillos","Claudia Piñeiro","Novela","Política, humor, sátira"
"Las grietas de Jara","Claudia Piñeiro","Novela Negra","Crimen, intriga, arquitectura"
"La viuda de los jueves","Claudia Piñeiro","Novela","Sociedad, crisis económica, secretos"
"Elena sabe","Claudia Piñeiro","Novela","Secretos familiares, memoria"
"Los diarios de Emilio Renzi: Los años felices","Claudia Piñeiro","Novela","Autobiografía, escritura, reflexiones"
"Quién no","Claudia Piñeiro","Novela","Secretos familiares, relaciones humanas"
"El secreto de las fiestas","Claudia Piñeiro","Cuentos","Relaciones humanas, cotidianidad"
"Tres cuentos y una espera","Claudia Piñeiro","Cuentos","Historias cortas, experiencias humanas"
"Las grietas de Jara","Claudia Piñeiro","Novela Negra","Crimen, intriga, arquitectura"
"Elena sabe","Claudia Piñeiro","Novela","Secretos familiares, memoria"
"Los diarios de Emilio Renzi: Los años felices","Claudia Piñeiro","Novela","Autobiografía, escritura, reflexiones"
"Quién no","Claudia Piñeiro","Novela","Secretos familiares, relaciones humanas"
"El secreto de las fiestas","Claudia Piñeiro","Cuentos","Relaciones humanas, cotidianidad"
"Tres cuentos y una espera","Claudia Piñeiro","Cuentos","Historias cortas, experiencias humanas"
"Las cosas que perdimos en el fuego","Mariana Enríquez","Cuentos","Realismo oscuro, horror, lo sobrenatural"
"Don Quijote de la Mancha","Miguel de Cervantes","Novela","Aventura, locura, honor"
"Crimen y castigo","Fyodor Dostoevsky","Novela","Crimen, culpa, redención"
"1984","George Orwell","Novela distópica","Totalitarismo, vigilancia, resistencia"
"Ulises","James Joyce","Novela","Vida cotidiana, exploración de la mente humana"
"En busca del tiempo perdido","Marcel Proust","Novela","Memoria, tiempo, sociedad"
"El Gran Gatsby","F. Scott Fitzgerald","Novela","Riqueza, decadencia, sueños rotos"
"Orgullo y prejuicio","Jane Austen","Novela","Amor, clase social, prejuicio"
"Crónica de una muerte anunciada","Gabriel García Márquez","Novela","Muerte, destino, honor"
"Los miserables","Victor Hugo","Novela","Justicia, redención, revolución"
"Anna Karenina","Leo Tolstoy","Novela","Amor, sociedad, moralidad"
"La Odisea","Homero","Poesía épica","Aventura, regreso a casa, mitología"
"El retrato de Dorian Gray","Oscar Wilde","Novela","Vanidad, decadencia, moralidad"
"El gran hermano","Aldous Huxley","Novela distópica","Sociedad, control, individualidad"
"La metamorfosis","Franz Kafka","Novela","Transformación, alienación, soledad"
"El viejo y el mar","Ernest Hemingway","Novela","Lucha, tenacidad, naturaleza"
"Los viajes de Gulliver","Jonathan Swift","Novela satírica","Aventura, sátira, crítica social"
"Robinson Crusoe","Daniel Defoe","Novela de aventuras","Supervivencia, soledad, exploración"
"La isla del tesoro","Robert Louis Stevenson","Novela de aventuras","Aventura, piratería, amistad"
"Hamlet","William Shakespeare","Tragedia","Venganza, locura, moralidad"
"La divina comedia","Dante Alighieri","Poesía épica","Viaje al inframundo, redención, fe"
"Alicia en el País de las Maravillas","Lewis Carroll","Ficción","Aventuras, surrealismo"
"El Principito","Antoine de Saint-Exupéry","Ficción","Amistad, exploración, filosofía"
"Matilda","Roald Dahl","Ficción","Inteligencia, valentía, magia"
"El Grúfalo","Julia Donaldson","Ficción","Amistad, valentía, astucia"
"Harry Potter y la piedra filosofal","J.K. Rowling","Fantasía","Magia, amistad, valentía"
"Donde viven los monstruos","Maurice Sendak","Ficción","Imaginación, emociones, familia"
"El Gato con Botas","Charles Perrault","Cuento de hadas","Astucia, amistad, aventura"
"Peter Pan","J.M. Barrie","Ficción","Aventura, eterna juventud, imaginación"
"El libro de la selva","Rudyard Kipling","Aventura","Amistad, naturaleza, valentía"
"Charlie y la fábrica de chocolate","Roald Dahl","Ficción","Imaginación, recompensas, moralidad"
"Las Crónicas de Narnia: El león, la bruja y el ropero","C.S. Lewis","Fantasía","Aventura, magia, valentía"
"El pequeño príncipe","Antoine de Saint-Exupéry","Ficción","Amistad, exploración, filosofía"
"El viaje de las estrellas","José Emilio Pacheco","Poesía","Exploración del espacio, poesía"
"El ratón de ciudad y el ratón de campo","Esopo","Fábula","Diferencias, astucia, amistad"
"La telaraña de Carlota","E.B. White","Ficción","Amistad, comprensión, ingenio"
"El lorax","Dr. Seuss","Ficción","Medio ambiente, conservación, responsabilidad"
"Charlie y la fábrica de chocolate","Roald Dahl","Ficción","Imaginación, recompensas, moralidad"
"Las Crónicas de Narnia: El león, la bruja y el ropero","C.S. Lewis","Fantasía","Aventura, magia, valentía"
"El pequeño príncipe","Antoine de Saint-Exupéry","Ficción","Amistad, exploración, filosofía"
"El viaje de las estrellas","José Emilio Pacheco","Poesía","Exploración del espacio, poesía"
